Year,FSCS ID,Town,Library,Mailing Address,Street Address,County,Phone Number,Hours per Week,FY Ends,Population,Hours MLS,ALA MLS,Hours Librarian,FTE Librarians,Hours other,Other Staff,Total Hours,Total FTE,Weekly Volunteer Hrs,Square Feet,Cap. Revenue - Local Taxes,Cap. Revenue - State,Cap. Revenue - Federal, Cap. Revenue - Other ,Total Cap. Revenue , Local Tax , Per Capita Tax ,Other Income, Total Income , State Grant  , Federal Grant , Other Grant , Total Grants , Fee Revenue, Book Expense , E Expense, AV Expense,Total Media Expense , Per Capita Expense, Salaries , Employee Benefits , Total Staff Expense , Other Expense , Total Operating Expense , PC Total Expense ,Grant Expense, Capital Expense ,Adult Books,Juvenile Books,Books,Per Capita Books,E Books,Adult Video,Juvenile Video,Video,Adult Audio,Juvenile Audio,Audio,Total Holdings,Adult Subscriptions,Juvenile Subscriptions,Subscriptions,Databases,E serials,Adult Borrowers,Juvenile Borrowers,Borrowers,% of population who borrow,Visits,Per Capita Visits,Reference Trans.,Per Capita Reference Trans.,Adult Circulation,Juvinile Circulation,Total Circulation,Per Capita Circulation,Collection Turnover,Library Loans Out,Library Loans In,Adult Programs,Juvenile Programs,Young Adult Programs,Total Programs,Adult Prog. Attend.,Juvenile Prog. Attend.,Young Adult Prog. Attend.,Total Program Attendance,Per Capita Prog. Attend.,Home Deliveries,Day Care Deliveries,Other Deliveries,Number of Computers,Public Computers,Computer Trained,Computer Users per Week,Wireless Users per Week,Internet Type,filtered?,Name of filtering program,Meets Standards?,Library Type,Automated?,Automation Vendor,Location 1,ZIP+4,Web address,City
2011-2012,VT0112,PAWLET,Pawlet Public,PO Box 98,141 School St.,Rutland,(802) 325-3123,25.5,06/30/2012,1705,30,0.75,30,0.75,5,0.125,35,0.875,20,2900,$0.00,$0.00,$0.00,$1500.00,$1500.00,$31795.00,$18.65,$16155.00,$47950.00,$0.00,$50.00,$2500.00,$2550.00,$0.00,$1454.00,$763.00,N/A,$2217.00,$1.30,$22000.00,$6000.00,$28000.00,$7799.00,$38016.00,$22.30,$500.00,"$7,799 ",7500,3500,11000,6.45,0,400,350,750,325,30,355,12105,15,4,19,25,0,306,160,466,27.33%,33800,19.82,10400,6.1,N/A,N/A,15000,8.8,1.24%,110,190,45,95,0,140,300,700,0,1000,0.59,6,25,20,6,4,50,90,125,high speed,No,NA,y-86,Municipal,Yes,KOHA,"141 School St.
Pawlet, VT 05761
(43.345482089000484, -73.17928991299965)",98,N/A,Pawlet
2011-2012,VT0173,WATERFORD,Davies Memorial,PO Box 56,111 Lower Waterford Rd,Caledonia,(802) 748-4609,52,12/31/2011,1314,0,0,15,0.375,0,0,15,0.375,15,2050,$0.00,$0.00,$0.00,$0.00,$0.00,$5900.00,$4.49,$11800.00,$17700.00,$100.00,$50.00,$0.00,$150.00,$0.00,N/A,N/A,N/A,$2200.00,$1.67,N/A,N/A,$7600.00,$7200.00,$17000.00,$12.94,$0.00,$0 ,2614,1883,4497,3.42,0,210,120,507,117,8,125,5129,17,2,19,0,0,N/A,N/A,N/A,N/A,3120,2.37,520,0.4,1381,877,2258,1.72,0.44%,6,32,47,40,N/A,87,265,359,N/A,624,0.47,0,0,0,3,2,1,2,4,high speed,No,norton,y-86,Municipal,No,N/A,"111 Lower Waterford Rd
Lower Waterford, VT 05848
(44.35440209900048, -71.90749592899965)",56,daviesmemoriallibrary.org,Lower Waterford
2011-2012,VT0121,PROCTOR,Proctor Free,4 Main St.,4 Main St.,Rutland,(802) 459-3539,42,06/30/2012,1812,0,0,27,0.675,50,1.25,77,1.925,0,7006,$0.00,$0.00,$0.00,$0.00,$0.00,$63846.00,$35.24,$8681.00,$72695.00,$100.00,$53.00,$2830.00,$2983.00,$168.00,$7549.00,$500.00,$585.00,$8634.00,$4.76,N/A,N/A,$54299.00,$39593.00,$102526.00,$56.58,$2830.00,"$11,233 ",14802,5842,20644,11.39,42,N/A,N/A,802,N/A,N/A,300,21746,28,6,34,24,0,N/A,N/A,1763,97.3%,24960,13.77,2184,1.21,N/A,N/A,22860,12.62,1.05%,77,134,14,22,N/A,36,187,828,N/A,1015,0.56,16,0,0,9,6,22,150,28,high speed,No,N/A,y-86,Incorporated,Yes,Follett,"4 Main St.
Proctor, VT 05765
(43.66127631000046, -73.03294305699967)",1111,N/A,Proctor
2011-2012,VT0061,GLOVER,Glover Public,51 Bean Hill Rd,51 Bean Hill Rd,Orleans,(802) 525-4365,22,12/31/2011,1088,0,0,18,0.45,10,0.25,28,0.7,10,823,$0.00,$0.00,$0.00,$0.00,$0.00,$10000.00,$9.19,$7032.00,$17032.00,$0.00,$50.00,$3500.00,$3550.00,N/A,$4725.00,$0.00,$857.00,$5582.00,$5.13,$15444.00,$1549.00,$16993.00,$2649.00,$25224.00,$23.18,$0.00,$0 ,2800,3900,6700,6.16,0,N/A,N/A,145,34,0,34,6879,2,1,3,25,0,564,126,690,63.42%,5720,5.26,1872,1.72,2745,2245,4990,4.59,0.73%,75,45,26,121,4,151,490,1435,32,1957,1.8,10,65,3,4,3,55,40,30,high speed,No,N/A,y-86,Municipal,No,N/A,"51 Bean Hill Rd
Glover, VT 05839
(44.70721197300048, -72.18799833199967)",9669,gloverlibrary.org,Glover
2011-2012,VT0014,BENNINGTON,Bennington Free,101 Silver St.,101 Silver St.,Bennington,(802) 442-9051,39.59615385,06/30/2012,18484,80,2,120,3,247,6.175,367,9.175,36,11511,$0.00,$0.00,$0.00,$0.00,$0.00,$362700.00,$19.62,$75631.00,$439223.00,$1100.00,$1228.00,$12730.00,$15058.00,$892.00,N/A,N/A,N/A,$46907.00,$2.54,$245232.00,$42712.00,$287944.00,$131404.00,$466255.00,$25.22,$36641.00,$0 ,47009,16207,63216,3.42,0,2761,899,3660,8507,1458,9965,76841,109,13,122,25,0,6234,2142,8376,45.31%,77948,4.22,11232,0.61,66252,29211,95463,5.16,1.24%,764,221,16,186,N/A,202,331,13223,N/A,13554,0.73,0,356,0,28,18,1207,200,N/A,high speed,No,N/A,y-98,Incorporated,Yes,TLC,"101 Silver St.
Bennington, VT 05201
(42.87796545200047, -73.19378802399967)",2868,benningtonfreelibrary.org,Bennington
2011-2012,VT0180,WESTMINSTER,Butterfield,PO Box 123,3534 US Rte. 5,Windham,(802) 722-4891,15,05/31/2012,296,0,0,17,0.425,3,0.075,20,0.5,0,180,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$2004.00,$2004.00,$0.00,$0.00,$0.00,$0.00,$0.00,N/A,N/A,N/A,$5126.00,$17.32,N/A,N/A,$11604.00,N/A,$16730.00,$56.52,$0.00,"$1,500 ",N/A,N/A,9748,32.93,0,159,99,258,365,98,463,10469,18,1,19,0,0,N/A,N/A,348,117.57%,1820,6.15,156,0.53,3979,1226,5205,17.58,0.5%,7,56,0,3,0,3,N/A,N/A,N/A,66,0.22,3,0,0,2,1,0,8,6,high speed,No,N/A,no,Incorporated,No,N/A,"3534 US Rte. 5
Westminster, VT 05158
(43.06745615800048, -72.45894978499967)",123,N/A,Westminster
2011-2012,VT0069,HANCOCK,Hancock Free Public,PO Box 159,47 Rte. 125,Addison,(802) 767-4651,14,06/30/2012,421,0,0,14,0.35,0,0,14,0.35,4,300,$0.00,$0.00,$0.00,$0.00,$0.00,$14668.00,$34.84,N/A,$14668.00,$100.00,$0.00,$500.00,$600.00,N/A,$1577.00,$798.00,$57.00,$2432.00,$5.78,$9484.00,$726.00,$10210.00,$2026.00,$14668.00,$34.84,$0.00,$0 ,N/A,N/A,3010,7.15,0,N/A,N/A,1222,N/A,N/A,64,4296,N/A,N/A,12,25,0,N/A,N/A,577,137.05%,832,1.98,104,0.25,1241,162,1403,3.33,0.33%,0,52,N/A,N/A,N/A,0,N/A,N/A,N/A,0,0,4,0,2,2,1,12,10,4,high speed,No,na,y-86,Municipal,No,na,"47 Rte. 125
Hancock, VT 05748
(43.92635411000049, -72.84226898199967)",159,N/A,Hancock
2011-2012,VT0009,BARNET,Barnet Public,PO Box 34 ,147 Church St.,Caledonia,(802) 633-4436,19,12/31/2011,1828,0,0,25,0.625,0,0,25,0.625,2,2400,$0.00,$0.00,$0.00,$0.00,$0.00,$20500.00,$11.21,$1852.00,$22352.00,$0.00,$50.00,$0.00,$50.00,N/A,$2256.00,$0.00,$686.00,$2942.00,$1.61,$13392.00,$2581.00,$15973.00,$2469.00,$21384.00,$11.70,$0.00,$0 ,4467,3416,7883,4.31,20,216,189,405,227,37,264,8552,12,3,15,0,0,505,108,613,33.53%,4004,2.19,364,0.2,1253,2590,3843,2.1,0.45%,3,31,5,52,0,57,355,320,0,675,0.37,0,0,100,5,4,2,6,13,high speed,No,n/a,y-86,Municipal,No,n/a,"147 Church St.
Barnet, VT 05821
(44.296372276000454, -72.05279324299966)",34,N/A,Barnet
2011-2012,VT0160,TROY,Wm. & Lucy Rand Memorial,PO Box 509,160 Railroad St.,Orleans,(802) 988-4741,20,12/31/2011,2264,0,0,20,0.5,0,0,20,0.5,0,2300,$0.00,$0.00,$0.00,$0.00,$0.00,$16520.00,$7.30,$1756.00,$18276.00,$100.00,$50.00,$1000.00,$1150.00,N/A,$2480.00,N/A,N/A,$2480.00,$1.10,$10400.00,$800.00,$11200.00,$3040.00,$16720.00,$7.39,$0.00,$0 ,4290,4716,9006,3.98,0,N/A,N/A,504,N/A,N/A,90,9600,N/A,N/A,12,0,0,N/A,N/A,1248,55.12%,5512,2.43,3900,1.72,N/A,N/A,3865,1.71,0.4%,13,49,67,88,3,158,290,1224,6,1520,0.67,46,3,N/A,8,7,12,50,15,high speed,No,n/a,y-86,Municipal,No,n/a,"160 Railroad St.
North Troy, VT 05859
(44.997386393000454, -72.40538249399964)",509,www.randmemoriallibrary.org,North Troy
2011-2012,VT0202,ALBANY,Albany Town,PO Box 272,530 Main St.,Orleans,(802) 755-6107,14,12/31/2011,912,0,0,12,0.3,0,0,12,0.3,2,800,N/A,N/A,N/A,N/A,$0.00,$0.00,$0.00,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,N/A,N/A,N/A,N/A,$0.00,$0.00,N/A,N/A,$0.00,N/A,$0.00,$0.00,$0.00,N/A,N/A,N/A,0,0,0,N/A,N/A,0,N/A,N/A,0,0,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,0,0,0,0,N/A,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,high speed,N/A,N/A,no app.,Municipal,N/A,N/A,"530 Main St.
Albany, VT 05820
(44.73502558500047, -72.37861220299965)",512,N/A,Albany
2011-2012,VT0190,WINDHAM,Windham Town ,c/o 7071 Windham Hill Rd.,26 Harrington Rd.,Windham,(802) 875-2244,3,12/31/2011,442,0,0,0,0,0,0,0,0,20,300,$0.00,$0.00,$0.00,$0.00,$0.00,$500.00,$1.13,$0.00,$500.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high speed,0,0,no,Municipal,0,0,"26 Harrington Rd.
Windham, VT 05359
(43.18042395700047, -72.72591451499966)",,windhamtownlibrary.com,Windham
2011-2012,VT0058,FAIRLEE,Fairlee Public,PO Box 125,221 US Rte 5 N,Orange,(802) 333-4716,25,12/31/2011,1065,0,0,30,0.75,6,0.15,36,0.9,17,870,$1500.00,$0.00,$0.00,$0.00,$1500.00,$64389.00,$60.46,$1772.00,$66161.00,$0.00,$173.00,$0.00,$173.00,$0.00,$6000.00,$310.00,N/A,$6310.00,$5.92,$30053.00,$9869.00,$39922.00,$18080.00,$64312.00,$60.39,$0.00,$0 ,N/A,N/A,13462,12.64,0,N/A,N/A,510,N/A,N/A,477,14449,N/A,N/A,40,24,0,N/A,N/A,1804,169.39%,7592,7.13,832,0.78,N/A,N/A,10007,9.4,0.69%,143,344,8,10,0,18,N/A,131,N/A,390,0.37,0,0,0,7,5,7,24,14,high speed,No,N/A,y-86,Municipal,Yes,KOHA,"221 US Rte 5 N
Fairlee, VT 05045
(43.90597548700049, -72.14603351599965)",125,www.fairleelibrary.com,Fairlee
2011-2012,VT0043,CRAFTSBURY,Craftsbury Public,PO Box 74,12 Church Ln.,Orleans,(802) 586-9683,32,12/31/2011,1180,0,0,62,1.55,0,0,62,1.55,17,3000,$0.00,$0.00,$0.00,$0.00,$0.00,$29000.00,$24.58,$22290.00,$51290.00,$100.00,$259.00,$9725.00,$10084.00,N/A,N/A,N/A,N/A,$8983.00,$7.61,$44047.00,$8670.00,$52717.00,$17385.00,$79085.00,$67.02,$10084.00,$0 ,N/A,N/A,14121,11.97,66,N/A,N/A,1914,N/A,N/A,659,16694,17,3,20,24,0,1987,1005,2992,253.56%,19708,16.7,4472,3.79,N/A,N/A,24977,21.17,1.5%,155,363,22,132,12,166,517,1638,102,2257,1.91,7,18,12,13,11,101,315,112,high speed,No,N/A,y-98,Incorporated,Yes,Library World,"12 Church Ln.
Craftsbury Common, VT 05827
(44.6693889280005, -72.36178797899964)",74,www.craftsburypubliclibrary.org,Craftsbury Common
2011-2012,VT0195,WOODBURY,Woodbury Community,PO Box 329,69 Valley Lake Rd.,Washington,(802) 472-5715,19.23076923,06/30/2012,912,0,0,16,0.4,0,0,16,0.4,4,1500,$0.00,$0.00,$0.00,$40.00,$40.00,$9000.00,$9.87,$6085.00,$15085.00,$0.00,$40.00,$0.00,$40.00,N/A,$1450.00,$0.00,$195.00,$1645.00,$1.80,$10370.00,$1291.00,$11661.00,$4500.00,$17806.00,$19.52,$0.00,$0 ,N/A,N/A,8219,9.01,0,300,10,310,197,10,207,8736,3,0,6,25,0,625,60,685,75.11%,520,0.57,260,0.29,N/A,N/A,1969,2.16,0.23%,1,10,4,1,N/A,5,50,N/A,N/A,50,0.05,1,0,2,6,4,3,10,N/A,high speed,Children Only,Sonic Wall,y-86,Community (joint school-public),Yes,Library World,"69 Valley Lake Rd.
Woodbury, VT 05681
(44.440652033000504, -72.41624347899966)",329,N/A,Woodbury
2011-2012,VT0042,CORNWALL,Cornwall Free Public,2629 Rte. 30,2629 Rte. 30,Addison,(802) 462-3615,32,06/30/2012,1159,0,0,0,0,0,0,0,0,5,315,$0.00,$0.00,$0.00,$0.00,$0.00,$3000.00,$2.59,$688.00,$3688.00,$0.00,$0.00,$0.00,$0.00,N/A,N/A,N/A,N/A,$5270.00,$4.55,$0.00,$0.00,$0.00,$1726.00,$6996.00,$6.04,$0.00,$0 ,N/A,N/A,3368,2.91,0,N/A,N/A,628,N/A,N/A,172,4168,N/A,N/A,0,25,0,174,61,235,20.28%,520,0.45,0,0,N/A,N/A,1460,1.26,0.35%,0,10,0,0,0,0,0,0,0,0,0,2,0,0,1,1,15,1,3,high speed,No,n/a,no,Municipal,Yes,ResourceMate,"2629 Rte. 30
Cornwall, VT 05753
(43.96130281100045, -73.20959303199965)",9299,cornwallvt.com,Cornwall
2011-2012,VT0218,WEST FAIRLEE,West Fairlee Free Public,894 Route 113   Unit 3,380 Rte. 113,Orange,(802) 333-3502,7,12/31/2011,677,7,0.175,0,0,0,0,0,0,2,1064,$0.00,$0.00,$0.00,$0.00,$0.00,$4140.00,$6.12,$1105.00,$5245.00,$0.00,$0.00,$0.00,$0.00,N/A,$500.00,$0.00,$50.00,$550.00,$0.81,$3640.00,$0.00,$3640.00,$0.00,$4190.00,$6.19,$0.00,$0 ,2328,1822,4150,6.13,0,25,26,51,82,22,104,4305,8,4,12,0,0,67,22,89,13.15%,624,0.92,156,0.23,2725,2020,4745,7.01,1.1%,0,0,2,10,2,14,30,25,N/A,55,0.08,0,0,0,3,1,2,7,2,high speed,No,n/a,no,Municipal,Yes,Resourcemate,"380 Rte. 113
West Fairlee, VT 05083
(43.901970072000495, -72.26327786799965)",8,http://westfairleelibrary.wordpress.com,West Fairlee
2011-2012,VT0113,PEACHAM,Peacham,PO Box 253,656 Bayley Hazen Rd.,Caledonia,(802) 592-3216,19.65384615,06/30/2012,822,0,0,26,0.65,2,0.05,28,0.7,11,4224,$0.00,$0.00,$0.00,$0.00,$0.00,$6500.00,$7.91,$22130.00,$28630.00,$100.00,$55.00,$500.00,$655.00,N/A,$3756.00,$317.00,$476.00,$4549.00,$5.53,$18912.00,$1447.00,$20359.00,$19795.00,$44703.00,$54.38,$655.00,$0 ,5919,3240,9159,11.14,0,335,215,550,239,36,275,9984,37,2,39,25,0,N/A,N/A,548,66.67%,9516,11.58,156,0.19,3132,3301,6433,7.83,0.64%,38,342,121,44,N/A,165,1750,494,N/A,2244,2.73,8,0,0,7,5,144,30,6,high speed,No,N/A,y-98,Incorporated,Yes,LibraryWorld,"656 Bayley Hazen Rd.
Peacham, VT 05862
(44.32886892100049, -72.17048328299967)",253,peachamlibrary.org,Peacham
2011-2012,VT0028,"BURKE, WEST",West Burke,135 Main St.,135 Main St.,Caledonia,(802) 467-3328,N/R,N/R,268,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,900,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0,N/R,N/R,N/R,N/A,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/A,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,no app.,N/R,N/R,N/R,"135 Main St.
West Burke, VT 05871
(44.664396516000465, -71.95556906999963)",243,N/R,West Burke
2011-2012,VT0094,MIDDLETOWN SPRINGS,Middletown Springs Public,39 West St.,39 West St.,Rutland,(802) 235-2435,21,06/30/2012,695,0,0,15,0.375,0,0,15,0.375,10,800,$0.00,$0.00,$0.00,$413.00,$413.00,$13625.00,$19.60,$4831.00,$18456.00,$520.00,$55.00,$0.00,$575.00,N/A,$2772.00,$55.00,$287.00,$3114.00,$4.48,$9273.00,$1307.00,$10580.00,$5234.00,$18928.00,$27.23,$0.00,$0 ,2852,2784,5636,8.11,0,465,228,693,76,10,86,6415,11,2,13,25,0,244,123,367,52.81%,2704,3.89,104,0.15,1659,2819,4478,6.44,0.7%,14,86,24,15,N/A,39,215,224,N/A,439,0.63,0,0,0,6,4,15,11,1,high speed,No,N/A,y-86,Municipal,Yes,Library World,"39 West St.
Middletown Spgs., VT 05757
(43.485301637000475, -73.12214096699967)",1244,http://middletownsprings.wordpress.com,Middletown Spgs.
2011-2012,VT0158,TINMOUTH,Tinmouth,141 East Rd.,9 Mtn. View Rd.,Rutland,(802) 446-2498,N/R,N/R,677,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,450,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0,N/R,N/R,N/R,N/A,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/A,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,no app.,N/R,N/R,N/R,"9 Mtn. View Rd.
Tinmouth, VT 05773
(43.44820356200046, -73.05046405399963)",1106,N/R,Tinmouth
2011-2012,VT0073,HIGHGATE,Highgate Public,PO Box 76,17 Mill Hill,Franklin,(802) 868-3970,29,12/31/2011,3539,0,0,40,1,13,0.325,53,1.325,0,1320,$0.00,$0.00,$0.00,$0.00,$0.00,$62698.00,$17.72,$2354.00,$65052.00,$1600.00,$50.00,$2911.00,$4561.00,$0.00,$4483.00,$250.00,N/A,$4733.00,$1.34,$34553.00,$13128.00,$47681.00,$15939.00,$68353.00,$19.31,$2293.00,$0 ,5250,4800,10050,2.84,0,0,0,0,145,29,174,10224,16,5,21,1,0,N/A,N/A,350,9.89%,7800,2.2,0,0,2576,5359,7935,2.24,0.78%,3,292,13,124,N/A,137,232,3062,N/A,3294,0.93,7,36,164,6,4,1,65,N/A,high speed,No,N/A,y-86,Municipal,No,N/A,"17 Mill Hill
Highgate, VT 05459
(44.938315151000495, -73.04484284599965)",76,www.highgatelibrary.wordpress.com,Highgate
2011-2012,VT0037,CHESTER,Whiting,PO Box 68,117 Main St.,Windsor,(802) 875-2277,26.76923077,12/31/2011,3149,0,0,32,0.8,76,1.9,108,2.7,15,2600,$0.00,$0.00,$0.00,$0.00,$0.00,$77000.00,$24.45,$17500.00,$94500.00,$100.00,$55.00,$0.00,$155.00,$0.00,N/A,N/A,N/A,$10145.00,$3.22,$71218.00,$6100.00,$77318.00,$18244.00,$105707.00,$33.57,$0.00,"$4,000 ",7950,4295,12245,3.89,0,778,218,996,311,70,381,13622,26,5,31,25,0,907,N/A,907,28.8%,16224,5.15,104,0.03,8726,4086,12812,4.07,0.94%,41,430,12,48,0,60,99,431,N/A,530,0.17,0,0,0,10,5,5,28,N/A,high speed,No,na,y-86,Municipal,Yes,LibraryWorld,"117 Main St.
Chester, VT 05143
(43.26384310700047, -72.59709102499966)",68,http://chester.govoffice.com ,Chester
2011-2012,VT0138,SAINT JOHNSBURY,St. Johnsbury Athenaeum,1171 Main St.,1171 Main St.,Caledonia,(802) 748-8291,40.5,12/31/2011,7638,40,1,255,6.375,110,2.75,365,9.125,86,22146,$0.00,$0.00,$202900.00,$111797.00,$314697.00,$103500.00,$13.55,$122322.00,$228325.00,$100.00,$556.00,$21821.00,$22477.00,$2503.00,$23091.00,$1600.00,$6000.00,$30691.00,$4.02,$294388.00,$49322.00,$343710.00,$146507.00,$520908.00,$68.20,$14861.00,"$652,127 ",17895,6870,24765,3.24,685,1334,506,1840,1256,191,1447,28052,56,5,61,25,0,N/A,N/A,3844,50.33%,79768,10.44,0,0,43538,26364,69902,9.15,2.49%,389,524,36,124,N/A,160,1820,2256,N/A,4076,0.53,26,335,0,27,14,100,226,44,high speed,No,NA,y-98,Incorporated,Yes,KOHA,"1171 Main St.
St. Johnsbury, VT 05819
(44.41843397200046, -72.02094802299968)",2687,www.stjathenaeum.org,St. Johnsbury
2011-2012,VT0130,ROXBURY,Roxbury Free,PO Box 95,1491 Roxbury Rd.,Washington,(802) 485-6860,14,06/30/2012,478,0,0,10,0.25,0,0,10,0.25,10,690,$0.00,$0.00,$0.00,$0.00,$0.00,$12000.00,$25.10,$4646.00,$16646.00,$50.00,$0.00,$0.00,$50.00,$0.00,$1018.00,N/A,N/A,$1018.00,$2.13,$6554.00,$0.00,$6554.00,$5755.00,$13327.00,$27.88,$0.00,$0 ,3000,2800,5800,12.13,0,112,55,167,120,55,175,6142,4,2,6,1,0,362,40,402,84.1%,1768,3.7,52,0.11,N/A,N/A,2340,4.9,0.38%,N/A,60,N/A,N/A,N/A,0,N/A,N/A,N/A,0,0,N/A,N/A,N/A,3,2,N/A,10,N/A,high speed,No,N/A,y-86,Municipal,No,N/A,"1491 Roxbury Rd.
Roxbury, VT 05669
(44.093448570000476, -72.73309558999966)",95,http://www.facebook.com/pages/Roxbury-Free-Library/225492285010,Roxbury
2011-2012,VT0193,WINOOSKI,Winooski Memorial,1 Main St.,1 Main St.,Chittenden,(802) 655-6424,32,06/30/2012,7198,0,0,40,1,14,0.35,54,1.35,3,4350,$0.00,$0.00,$0.00,$0.00,$0.00,$116064.00,$16.12,$0.00,$116164.00,$0.00,$0.00,$0.00,$0.00,$100.00,$12900.00,$1100.00,$5000.00,$19000.00,$2.64,$52381.00,$8618.00,$60999.00,$30000.00,$109999.00,$15.28,$0.00,$0 ,0,0,10317,1.43,2071,0,0,466,0,0,1642,12425,0,0,39,24,0,0,0,2565,35.63%,11648,1.62,780,0.11,0,0,16035,2.23,1.29%,45,53,N/A,N/A,N/A,0,0,0,0,0,0,25,0,4,8,6,150,73,25,high speed,No,N/A,no,Municipal,Yes,LibraryWorld,"1 Main St.
Winooski, VT 05404
(44.48975556200048, -73.18648283199963)",2222,winooskilibrary.wordpress.com,Winooski
2011-2012,VT0023,BRIGHTON,Island Pond Public,PO Box 422,49 Mill St. Ext.,Essex,(802) 723-6134,33,12/31/2011,990,0,0,28,0.7,23,0.575,51,1.275,9,1940,$0.00,$0.00,$0.00,$0.00,$0.00,$53617.00,$54.16,$3526.00,$57143.00,$100.00,$567.00,$2000.00,$3334.00,N/A,$6446.00,$1050.00,$1218.00,$8714.00,$8.80,$31462.00,$10098.00,$41560.00,$11056.00,$61330.00,$61.95,$1378.00,$0 ,6200,5000,11200,11.31,0,800,400,1200,130,70,200,12600,7,0,7,26,0,600,200,800,80.81%,13000,13.13,1820,1.84,7781,4643,12424,12.55,0.99%,74,220,3,32,2,37,90,320,8,418,0.42,0,0,0,8,5,3,80,40,high speed,No,N/A,y-86,Municipal,No,N/A,"49 Mill St. Ext.
Island Pond, VT 05846
(44.81476465200046, -71.87976758799965)",422,http://islandpondpubliclibrary.wordpress.com/,Island Pond
2011-2012,VT0068,GUILFORD,Guilford Free,4024 Guilford Ctr. Rd.,4024 Guilford Ctr. Rd.,Windham,(802) 257-4603,24,06/30/2012,2002,0,0,20,0.5,10,0.25,30,0.75,19,800,$0.00,$0.00,$0.00,$0.00,$0.00,$25000.00,$12.49,$12573.00,$37573.00,$0.00,$0.00,$0.00,$0.00,N/A,$2370.00,$137.00,$1110.00,$3617.00,$1.81,N/A,N/A,$18615.00,$15434.00,$37666.00,$18.81,$0.00,$0 ,2007,2172,4179,2.09,0,131,128,259,113,44,157,4595,2,2,4,24,0,164,55,315,15.73%,2808,1.4,52,0.03,N/A,N/A,0,0,0%,1,219,23,63,0,86,252,452,0,704,0.35,9,0,23,8,6,12,11,N/A,high speed,No,na,y-98,Municipal,No,na,"4024 Guilford Ctr. Rd.
Guilford, VT 05301
(42.79226096500048, -72.62429809699967)",8454,http://homepages.sover.net/~wilken/guilfordlibrary/,Guilford
2011-2012,VT0176,WELLS,Wells Village,PO Box 587,5 East Wells Rd.,Rutland,(802) 645-0611,6,12/31/2010,1255,6,0.15,0,0,0,0,0,0,2,864,$0.00,$0.00,$0.00,$0.00,$0.00,$4500.00,$3.59,$2798.00,$7298.00,$0.00,$0.00,$775.00,$775.00,N/A,$1432.00,$0.00,$100.00,$1532.00,$1.22,$2545.00,$40.00,$2585.00,$3668.00,$7785.00,$6.20,$0.00,$0 ,3656,2660,6316,5.03,0,N/A,N/A,35,178,20,198,6549,0,0,0,0,0,N/A,N/A,485,38.65%,728,0.58,624,0.5,N/A,N/A,30,0.02,0%,0,30,N/A,N/A,0,57,56,386,0,442,0.35,0,0,0,2,2,0,1,2,high speed,No,0,no,Municipal,No,n/a,"5 East Wells Rd.
Wells, VT 05774
(43.41703700800048, -73.20296625999964)",587,wellslibrary.com,Wells
